Date,Price,Open,High,Low,Vol.,Change %
"Feb 01, 2020",302.6,317.3,322.55,296.6,61.84M,-4.98
"Jan 31, 2020",318.45,313.7,321.7,308.6,92.66M,2.49
"Jan 30, 2020",310.7,316.75,316.75,305.65,35.80M,-1.82
"Jan 29, 2020",316.45,317.85,319.7,315.55,23.91M,0.43
"Jan 28, 2020",315.1,317.95,320,311.05,26.49M,-0.35
"Jan 27, 2020",316.2,320.9,322,315.8,23.31M,-2.42
"Jan 24, 2020",324.05,323.5,327.3,321.15,22.71M,0.26
"Jan 23, 2020",323.2,316,324.8,314.15,33.29M,2.23
"Jan 22, 2020",316.15,317,317,313.7,24.99M,0.78
"Jan 21, 2020",313.7,313.8,316.95,312,30.59M,-0.1
"Jan 20, 2020",314,321,321.45,313.4,30.68M,-1.26
"Jan 17, 2020",318,313,323.5,310.1,58.40M,-1.64
"Jan 16, 2020",323.3,324,326.9,322.35,26.65M,-0.29
"Jan 15, 2020",324.25,329,329.2,322.35,32.63M,-1.14
"Jan 14, 2020",328,329.8,331.7,326.5,26.30M,-0.83
"Jan 13, 2020",330.75,334,335.45,329.05,23.62M,-0.45
"Jan 10, 2020",332.25,331,337.95,328.1,42.38M,0.62
"Jan 09, 2020",330.2,326.9,331.4,325,40.35M,3.25
"Jan 08, 2020",319.8,312.1,321.5,311,44.53M,0.44
"Jan 07, 2020",318.4,324.45,327,315.4,50.97M,-0.19
"Jan 06, 2020",319,331.7,331.7,317.7,35.65M,-4.41
"Jan 03, 2020",333.7,337.95,337.95,332,21.85M,-1.65
"Jan 02, 2020",339.3,334.5,339.85,333.35,20.32M,1.45
"Jan 01, 2020",334.45,334.7,335.95,332.15,17.38M,0.21
"Dec 31, 2019",333.75,334.4,336.35,332.55,23.80M,-0.19
"Dec 30, 2019",334.4,337.75,337.85,332.5,22.78M,-0.85
"Dec 27, 2019",337.25,333.4,338.35,333,33.48M,2.24
"Dec 26, 2019",329.85,333,333.45,328.1,24.62M,-0.48
"Dec 24, 2019",331.45,333.2,334.2,329.2,21.75M,-0.29
"Dec 23, 2019",332.4,335.7,338.85,330.35,30.15M,-1.61
"Dec 20, 2019",337.85,330.35,339.5,330.35,51.84M,2.96
"Dec 19, 2019",328.15,327.35,329.6,324.5,27.52M,0.37
"Dec 18, 2019",326.95,335,335.55,325.8,26.45M,-1.79
"Dec 17, 2019",332.9,333.25,335.75,330.65,26.73M,0.32
"Dec 16, 2019",331.85,335.95,337.25,330.8,35.03M,-0.21
"Dec 13, 2019",332.55,325.2,333.45,325,40.96M,3.32
"Dec 12, 2019",321.85,314,322.95,313.55,37.80M,2.89
"Dec 11, 2019",312.8,311.2,315.75,308,52.56M,-0.19
"Dec 10, 2019",313.4,317.2,322.65,312.25,52.16M,-1.04
"Dec 09, 2019",316.7,318.95,327.65,314.75,52.44M,-1.03
"Dec 06, 2019",320,336.7,337.65,318,47.03M,-4.82
"Dec 05, 2019",336.2,343,344.6,335.15,30.43M,-1.65
"Dec 04, 2019",341.85,334.1,342.95,331.85,26.79M,1.67
"Dec 03, 2019",336.25,341,342.95,333.35,26.48M,-0.66
"Dec 02, 2019",338.5,343.9,344.35,336.2,20.65M,-0.98
"Nov 29, 2019",341.85,348.85,348.85,340.6,23.08M,-2.13
"Nov 28, 2019",349.3,346.85,351,344.5,42.54M,1.67
"Nov 27, 2019",343.55,335.95,345.55,334.05,33.97M,2.4
"Nov 26, 2019",335.5,338,340,332.6,36.46M,-0.18
"Nov 25, 2019",336.1,329,337.5,328.35,27.56M,2.06
"Nov 22, 2019",329.3,331.45,333.8,328.25,28.98M,-0.62
"Nov 21, 2019",331.35,329.25,332.85,326.55,34.12M,0.78
"Nov 20, 2019",328.8,332,332.5,325.1,29.97M,-0.48
"Nov 19, 2019",330.4,325.8,331.8,322.1,41.37M,1.63
"Nov 18, 2019",325.1,324,329.85,323.75,39.01M,0.99
"Nov 15, 2019",321.9,312,323.7,310.05,95.20M,5.2
"Nov 14, 2019",306,306.95,309.5,299.7,43.62M,-0.26
"Nov 13, 2019",306.8,316.05,318.6,305.65,32.68M,-3.6
"Nov 11, 2019",318.25,314.7,319.65,313.1,20.49M,0.71
"Nov 08, 2019",316,316.2,321,314.5,25.42M,-0.68
"Nov 07, 2019",318.15,318.25,323.3,316.8,33.93M,0.19
"Nov 06, 2019",317.55,318.95,318.95,314,32.16M,-0.52
"Nov 05, 2019",319.2,313.9,322,312.8,50.08M,1.56
"Nov 04, 2019",314.3,316,319,312.35,31.54M,0.24
"Nov 01, 2019",313.55,312.4,315,308.6,44.89M,0.37
"Oct 31, 2019",312.4,293.35,317.8,292.75,128.45M,7.76
"Oct 30, 2019",289.9,283,291,279.25,51.47M,3.3
"Oct 29, 2019",280.65,283.15,285,278.55,51.03M,-0.41
"Oct 27, 2019",281.8,281.8,281.8,281.8,0,0.09
"Oct 25, 2019",281.55,265.8,284.15,263.55,105.52M,7.26
"Oct 24, 2019",262.5,276,277.65,248.65,63.94M,-4.7
"Oct 23, 2019",275.45,270.75,277.8,268.65,31.79M,1.83
"Oct 22, 2019",270.5,270.4,275,268.5,27.57M,0.32
"Oct 18, 2019",269.65,264.4,271.35,263.2,33.20M,1.58
"Oct 17, 2019",265.45,256.4,266,255.6,37.06M,3.67
"Oct 16, 2019",256.05,259.3,261.95,255,30.89M,-0.93
"Oct 15, 2019",258.45,256.45,259.9,254.8,23.45M,1.17
"Oct 14, 2019",255.45,256.95,259.4,254,28.27M,0.35
"Oct 11, 2019",254.55,256.2,261.4,251.5,43.27M,0.16
"Oct 10, 2019",254.15,258,258,252.6,37.58M,-2.61
"Oct 09, 2019",260.95,250.1,262,244.35,60.33M,4.76
"Oct 07, 2019",249.1,251.5,253.4,246.85,39.16M,-0.34
"Oct 04, 2019",249.95,258.5,260.5,248.55,60.03M,-1.65
"Oct 03, 2019",254.15,254,260.7,250.1,56.21M,-0.7
"Oct 01, 2019",255.95,272.75,275.5,245.55,79.35M,-5.48
"Sep 30, 2019",270.8,281.4,281.85,270.15,41.09M,-3.7
"Sep 27, 2019",281.2,282.7,286.05,280,37.85M,-0.23
"Sep 26, 2019",281.85,281.5,289.9,277,79.01M,0.57
"Sep 25, 2019",280.25,297,297.5,278.7,73.06M,-7.39
"Sep 24, 2019",302.6,313.15,315.15,300.8,40.10M,-3.55
"Sep 23, 2019",313.75,307.55,316,300.4,54.18M,3.99
"Sep 20, 2019",301.7,274.5,307.65,268.4,84.48M,10.09
"Sep 19, 2019",274.05,279.95,279.95,273.05,23.39M,-2.26
"Sep 18, 2019",280.4,277.2,282.95,274.4,25.48M,2.35
"Sep 17, 2019",273.95,285,286.45,273,21.53M,-3.78
